symbol,currentTime,regularMarketPrice,previousClose,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChangePercent,postMarketChangePercent,preMarketChangePercent,averageDailyVolume10Day,fiftyDayAverage,twoHundredDayAverage
AAPL,2021-09-23 09:45:00,145.92,145.85,144.45,146.75,145.81,4603503,0.00047989072999999997,0.0,0.0047307997,96040875,149.03143,136.01633
ABBV,2021-09-23 09:45:00,107.12,106.41,107.01,107.12,106.66,147132,0.0066722967,0.0,0.0051686442,7593225,113.68571499999999,112.789925
ABT,2021-09-23 09:45:00,125.075,124.65,125.5,125.325,124.81,63537,0.00340951,0.0,0.004653043,5613512,125.51456999999999,119.5482
ACN,2021-09-23 09:45:00,338.055,334.66,335.45,338.33,337.155,176335,0.010144591,0.0,0.011474321,2486075,332.39172,299.80554
ADBE,2021-09-23 09:45:00,631.43,626.08,624.79,633.1562,631.43,128690,0.008545195,0.0,0.009838955,2846412,647.4128400000001,556.0016
ADI,2021-09-23 09:45:00,175.42,173.85,174.5,175.46,174.17,102864,0.009030728,0.0,0.0058095696999999995,6573687,168.45,161.96258999999998
ADP,2021-09-23 09:45:00,197.04,198.81,199.25,199.39,196.87,133904,-0.008902994000000001,0.0,-0.0032694226,1982166,208.31343,198.21348999999998
ADSK,2021-09-23 09:45:00,286.42,283.19,283.88,288.78,283.6597,1054820,0.011405809,0.0,0.0,1380300,311.24118,292.376
AMAT,2021-09-23 09:45:00,139.415,138.1,136.19,139.45,138.71,210818,0.009521992,0.0,0.009051411,7872462,135.48713999999998,132.8397
AMD,2021-09-23 09:45:00,104.525,104.38,102.815,105.13,104.51,1099313,0.001389196,0.0,0.0046944385,39221562,107.51543000000001,89.3995
AMGN,2021-09-23 09:45:00,213.0081,213.64,216.56,213.03,212.3,123013,-0.0029577652000000003,0.0,-0.0029956908000000003,2926337,223.30771000000001,239.56367000000003
AMZN,2021-09-23 09:45:00,3389.46,3380.05,3351.0,3390.0,3380.05,111599,0.0027839565000000004,0.0,0.0007455569000000001,3064662,3371.6533,3348.195
ARKK,2021-09-23 09:45:00,119.295,118.11,117.18,119.4025,118.98,140784,0.010032999,0.0,0.01117602,6013725,120.37629,118.92187
ARKQ,2021-09-23 09:45:00,80.014,79.72,79.98,80.3489,79.72,50849,0.0036878915999999998,0.0,0.00263421,287466,82.132286,82.221634
ASML,2021-09-23 09:45:00,878.4,864.74,851.83,878.99,877.26,84592,0.015796695,0.0,0.015403483,949100,825.9449,698.8380000000001
ATVI,2021-09-23 09:45:00,73.0827,72.81,73.1886,73.14,72.751,213246,0.0037454346000000004,0.0,0.00535095,9526612,80.77857,90.02806
AVGO,2021-09-23 09:45:00,502.43,500.59,494.25,502.51,500.8,81982,0.0036756555,0.0,0.003535806,2150987,490.48715,472.28128
AXP,2021-09-23 09:45:00,169.5,167.49,165.62,169.56,169.48,8267,0.012000684,0.0,0.0108066,4072875,164.02315,159.0936
BA,2021-09-23 09:45:00,217.2677,216.98,210.0,218.6434,217.19,301877,0.0013259493,0.0,0.003272222,8872837,220.26915,235.0536
BABA,2021-09-23 09:45:00,151.46,151.89,151.47,152.65,151.32,1088249,-0.002830948,0.0,0.0045427773,24185350,171.88028,208.10936
BAC,2021-09-23 09:45:00,40.678000000000004,40.14,39.75,40.87,40.65,2192930,0.013403139,0.0,0.015695093,54494200,40.808285,40.1823
BEKE,2021-09-23 09:45:00,16.88,17.6,17.21,17.36,16.78,626263,-0.04090916,0.0,-0.014204498999999999,11354912,18.806572,41.18144
BIDU,2021-09-23 09:45:00,161.08,159.88,158.11,162.25,160.57,167631,0.00750561,0.0,0.0070052230000000005,4292700,157.33858,191.54123
BIIB,2021-09-23 09:45:00,293.685,289.32,289.44,294.6309,292.1,36532,0.015087067,0.0,0.016105374,1060525,327.81256,310.5795
BILI,2021-09-23 09:45:00,73.78,70.56,71.12,74.91,71.12,3334044,0.04563494,0.009758759,0.0,4019600,77.43146999999999,99.38399
BKNG,2021-09-23 09:45:00,2406.11,2325.62,2338.85,2427.29,2338.85,417173,0.03461012,9.974200000000001e-05,-0.0010723026,255414,2242.34,2287.1226
BRK-B,2021-09-23 09:45:00,277.31,274.07,276.28,277.3773,275.11,389358,0.011821761,0.0,0.0047067496999999995,6394087,283.012,277.03784
C,2021-09-23 09:45:00,69.37,68.24,67.885,69.37,69.0801,721206,0.016559275,0.0,0.015167111499999998,24322950,70.926575,72.057556
CAT,2021-09-23 09:45:00,195.075,191.35,192.0,195.18,192.85,323559,0.019466897,0.0,0.0105565,4755375,208.05371,221.32597
CHTR,2021-09-23 09:45:00,754.18,755.9,758.69,760.24,753.53,43293,-0.002275475,0.0,-0.0025135898,1400916,784.9089,703.2622700000001
CL=F,2021-09-23 09:45:00,72.67,72.23,71.97,72.69,71.61,153142,0.00609158,0.0,0.0,313102,68.63972,67.2715
CMCSA,2021-09-23 09:45:00,56.02,56.06,56.87,57.05,55.905,17508111,-0.0007135375599999999,0.0042841462,0.0,25867157,59.008823,57.055144999999996
CNH=F,2021-09-23 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
COST,2021-09-23 09:45:00,453.87,452.33,452.3,454.0,452.3,78448,0.003404613,0.0,0.0011164524000000001,1916712,453.31885,397.4833
CRM,2021-09-23 09:45:00,270.165,259.17,258.9,271.21,266.44,2194678,0.042423867000000004,0.0,0.0417486,5333925,256.81915,236.86395
CSCO,2021-09-23 09:45:00,56.22,55.52,55.6992,56.22,55.6,1506734,0.012608083999999999,0.0,0.00414264,23333087,57.422,53.71626
CSX,2021-09-23 09:45:00,29.86,29.71,29.87,30.16,29.81,8814672,0.005048856599999999,0.0,0.0,13905828,32.38265,32.45628
CVX,2021-09-23 09:45:00,98.74,97.64,96.24,98.78,97.75,636426,0.01126586,0.0,0.00594021,13135812,98.12829,103.227264
DHR,2021-09-23 09:45:00,324.13,324.7,325.9,326.22,323.18,1680375,-0.0017554892000000001,0.0008329652499999999,0.0,2367628,320.5406,269.19057999999995
DIS,2021-09-23 09:45:00,175.49,173.65,172.94,175.5399,174.44,248821,0.010596093999999999,0.0,0.0055859559999999996,10016162,179.34313999999998,180.86389
DOCU,2021-09-23 09:45:00,274.39,274.04,275.21,275.98,273.42,73310,0.001277208,0.0,0.00350311,2777600,289.4254,249.39252000000002
DOW,2021-09-23 09:45:00,57.0508,56.3,56.26,57.22,56.66,376449,0.013335721000000002,0.0,0.0094139,6143437,61.464287,63.83288
DX-Y.NYB,2021-09-23 09:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
EURUSD=X,2021-09-23 09:45:00,1.1738467,1.1695906,1.1700011000000001,1.1738467,1.1687703999999999,0,0.0036389688,0.0,0.0,0,1.1782956,1.1923110000000001
FAS,2021-09-23 09:45:00,112.26,107.67,110.57600000000001,114.5,110.53,1626242,0.042630296,0.00302865,0.0,1826942,119.778824,109.46268500000001
FAZ,2021-09-23 09:45:00,24.36,25.47,24.67,24.77,23.84,1843262,-0.043580633,-0.008210212,-0.033294056,1907585,23.368000000000002,27.565434999999997
FB,2021-09-23 09:45:00,345.02,343.21,347.23,346.0,343.0,2131985,0.005273732,0.0,0.00652668,19128737,367.26685,332.55246
FISV,2021-09-23 09:45:00,108.69,106.21,106.91,109.45,106.72,3602572,0.023349999,0.00929243,0.0,4409200,113.13529,115.322464
GC=F,2021-09-23 09:45:00,1755.0,1778.8,1769.2,1777.1,1753.7,119040,-0.013379833999999998,0.0,0.0,497,1785.1656,1793.21
GE,2021-09-23 09:45:00,99.55,98.54,97.67,99.91,99.53,50235,0.010249666,0.0,0.010249666,11302200,102.92543,105.14568
GILD,2021-09-23 09:45:00,71.51,71.38,72.07,71.52,71.3,102598,0.001821307,0.0,0.001821307,7813000,71.218,67.88856
GOOG,2021-09-23 09:45:00,2831.1,2818.77,2801.01,2837.0,2830.28,32000,0.004374276,0.0,0.005048294,1335812,2824.2097,2496.973
GOOGL,2021-09-23 09:45:00,2826.39,2805.67,2819.75,2828.96,2808.03,125983,0.007385035,0.0,0.00396875,1534962,2805.7502,2457.4856
GS,2021-09-23 09:45:00,389.66,385.47,380.8,390.52,388.99,82477,0.010869853,0.0,0.014060791999999999,3024137,402.76572000000004,368.82842999999997
HD,2021-09-23 09:45:00,339.0,335.93,335.85,339.06,336.65,121995,0.009138831,0.0,0.00491172,3733012,329.75199999999995,317.75656000000004
HON,2021-09-23 09:45:00,218.24,217.02,216.44,218.24,217.3,43953,0.0056216074,0.0,0.0,2891950,227.00628999999998,224.0913
IBM,2021-09-23 09:45:00,135.63,134.63,133.72,135.63,135.04,80072,0.007427764599999999,0.0,0.0028968237,4071875,139.30229,140.09381000000002
IDXX,2021-09-23 09:45:00,661.51,659.78,663.95,665.0542,659.3,32431,0.0026220563,0.0,0.0045923903000000005,657200,676.9408599999999,593.2675
ILMN,2021-09-23 09:45:00,434.59,434.76,436.69,436.69,431.38,1023602,-0.0003910512,0.00094342633,0.0,961028,477.4747,439.67035
INTC,2021-09-23 09:45:00,53.7549,53.5,53.4,53.82,53.6,588060,0.004764521,0.0,0.005233622,23791662,53.656569999999995,57.458416
INTU,2021-09-23 09:45:00,562.8,555.25,560.6,565.0,553.64,911059,0.013597456,0.00390905,0.0,1177971,552.5897,469.4826
ISRG,2021-09-23 09:45:00,1034.67,1028.47,1020.0,1034.67,1031.25,9406,0.0060284436,0.0,0.005843641700000001,587000,1036.7611,894.5596300000001
JD,2021-09-23 09:45:00,76.01,75.92,74.525,76.4,75.63,251656,0.0011855107,0.0,0.0005268825,9123325,74.13243,75.7873
JNJ,2021-09-23 09:45:00,164.64,163.93,165.35,164.6812,164.21,119826,0.004331158,0.0,0.0016470706,7267975,172.19658,167.40309
JPM,2021-09-23 09:45:00,158.115,155.91,155.2,158.21,157.68,348362,0.014142786000000001,0.0,0.013982378,13243100,157.97285,156.16115
KO,2021-09-23 09:45:00,54.33,54.13,54.505,54.33,54.125,2223480,0.0036948228000000002,0.0,0.002401575,19677175,56.110572999999995,54.706978
LLY,2021-09-23 09:45:00,229.485,228.3,230.0,229.67,229.01,39513,0.005190528,0.0,0.0043363567,3050725,255.10771,219.57668999999999
LRCX,2021-09-23 09:45:00,598.95,601.1,594.0,601.91,596.725,66423,-0.003576715,0.0,-0.0022791468,1370575,600.7789,611.56256
MA,2021-09-23 09:45:00,346.7477,343.41,339.3,346.7477,345.45,109178,0.009719308000000001,0.0,0.006086009,3726162,354.4457,368.43667999999997
MCD,2021-09-23 09:45:00,245.63,243.13,241.8,245.72,243.72,117264,0.010282565,0.0,0.00127503,3112900,238.52315,233.32526000000001
MDLZ,2021-09-23 09:45:00,60.22,60.43,60.69,61.14,60.115,6947620,-0.0034750802000000003,0.0,0.0004964219999999999,8752483,61.958859999999994,61.456013
MDT,2021-09-23 09:45:00,128.91,127.84,128.79,129.695,128.18,3479773,0.00836989,0.0017841574,0.0,3943900,130.73735,126.21739
MELI,2021-09-23 09:45:00,1886.0,1879.49,1850.76,1895.0,1886.0,4764,0.003463711,0.0,0.0076776430000000005,239875,1841.9309,1576.8131
MMM,2021-09-23 09:45:00,180.56,179.84,179.31,180.56,180.0,159329,0.0040035658,0.0,0.00094527454,4193825,192.22685,196.38878
MRK,2021-09-23 09:45:00,72.735,72.04,72.33,72.74,72.58,428871,0.009647414,0.0,0.009855622,16780150,75.496284,74.965866
MRNA,2021-09-23 09:45:00,443.61,440.72,433.09,445.83,438.79,368925,0.0065574152000000005,0.0,-0.004583384,14395937,412.68542,250.8473
MSFT,2021-09-23 09:45:00,298.71,298.58,296.725,299.27,298.35,708677,0.00043541056,0.0,-0.0009377681,27747487,296.99457,266.97552
MU,2021-09-23 09:45:00,73.97,72.14,73.04,74.58,72.64,16996129,0.025367367999999998,0.0050019617,-0.0032445296999999997,16812937,73.854,81.0777
NFLX,2021-09-23 09:45:00,589.95,590.65,590.79,593.69,589.215,107693,-0.0011851557,0.0,0.00022010476000000002,3156400,557.7377299999999,526.0561
NIO,2021-09-23 09:45:00,36.23,35.7,35.21,36.5,36.11,1923932,0.014845903999999998,0.0,0.018767456000000002,34340100,39.409714,40.816833
NKE,2021-09-23 09:45:00,159.69,157.44,156.79,159.69,158.71,227321,0.014291158,0.0,0.008003014000000001,6715850,165.62686000000002,147.43884
NTES,2021-09-23 09:45:00,80.24,80.06,79.97,80.38,79.15,588010,0.0022483177,0.0,-0.007119657,4398533,89.456856,103.89145
NVDA,2021-09-23 09:45:00,220.1395,219.41,213.655,221.77,220.1395,1075158,0.00332479,0.0,0.008659559,24172012,213.89029,175.66988
NXPI,2021-09-23 09:45:00,214.551,213.08,214.15,214.57,213.01,45459,0.006903478,0.0,0.00544398,2104437,212.87057000000001,202.49107
PDD,2021-09-23 09:45:00,96.0182,97.6,96.86,97.5,95.51,275352,-0.016206913,0.0,-0.0022541108,6424125,94.12514499999999,118.19093000000001
